tenant_id,order_id,instrument_isin,instrument_name,order_side,order_execution_total_value,order_execution_total_share_qty
47ec62d8-59c2-4586-8cfc-35bc7d31a034,O051,US0378331005,Apple Inc,sell,564.72,9
8f6817fa-8549-4768-9f68-c4a60b8a3699,O052,GB0002634946,Shell PLC,sell,597.78,9
8f6817fa-8549-4768-9f68-c4a60b8a3699,O053,GB0002634946,Shell PLC,sell,619.92,10
b9fdacbf-e489-468c-80ff-6c05c1af0066,O054,US5949181045,Microsoft Corp,buy,835.86,13
47ec62d8-59c2-4586-8cfc-35bc7d31a034,O055,GB0002634946,Shell PLC,sell,326.20,5
ff12f85a-f31d-42c8-906e-c8cec7e11c20,O056,US5949181045,Microsoft Corp,sell,767.93,12
8036641c-af0e-44bd-8196-c03d6b73a96f,O057,US0378331005,Apple Inc,buy,732.84,13
ff12f85a-f31d-42c8-906e-c8cec7e11c20,O058,US0378331005,Apple Inc,buy,447.58,8
8f6817fa-8549-4768-9f68-c4a60b8a3699,O059,GB0002634946,Shell PLC,sell,895.38,14
93e839f9-98ae-49c8-a1ed-2a4c8a89e7de,O060,JP0006789501,Toyota Motor,buy,1130.97,18
b9fdacbf-e489-468c-80ff-6c05c1af0066,O061,US5949181045,Microsoft Corp,sell,445.05,7
47ec62d8-59c2-4586-8cfc-35bc7d31a034,O062,US0378331005,Apple Inc,sell,1064.16,17
f2ad29ca-62f1-41c6-9e4a-e769c7ef2cec,O063,US5949181045,Microsoft Corp,buy,972.25,16
4deea274-abce-41f7-b80e-0f990b36429c,O064,JP0006789501,Toyota Motor,sell,985.48,14
4deea274-abce-41f7-b80e-0f990b36429c,O065,US0378331005,Apple Inc,buy,457.93,8
8036641c-af0e-44bd-8196-c03d6b73a96f,O066,US5949181045,Microsoft Corp,buy,321.35,5
f2ad29ca-62f1-41c6-9e4a-e769c7ef2cec,O067,GB0002634946,Shell PLC,buy,619.96,9
8036641c-af0e-44bd-8196-c03d6b73a96f,O068,US5949181045,Microsoft Corp,sell,296.77,5
4deea274-abce-41f7-b80e-0f990b36429c,O069,US0378331005,Apple Inc,sell,904.46,14
ff12f85a-f31d-42c8-906e-c8cec7e11c20,O070,US0378331005,Apple Inc,buy,282.59,5
4deea274-abce-41f7-b80e-0f990b36429c,O071,US5949181045,Microsoft Corp,buy,783.78,12
ff12f85a-f31d-42c8-906e-c8cec7e11c20,O072,US0378331005,Apple Inc,buy,644.12,11
93e839f9-98ae-49c8-a1ed-2a4c8a89e7de,O073,US0378331005,Apple Inc,sell,418.66,7
b9fdacbf-e489-468c-80ff-6c05c1af0066,O074,JP0006789501,Toyota Motor,buy,830.91,13
8f6817fa-8549-4768-9f68-c4a60b8a3699,O075,US5949181045,Microsoft Corp,buy,622.12,10
8036641c-af0e-44bd-8196-c03d6b73a96f,O076,JP0006789501,Toyota Motor,buy,763.74,12
93e839f9-98ae-49c8-a1ed-2a4c8a89e7de,O077,GB0002634946,Shell PLC,buy,891.44,14
93e839f9-98ae-49c8-a1ed-2a4c8a89e7de,O078,US0378331005,Apple Inc,sell,490.40,8
b9fdacbf-e489-468c-80ff-6c05c1af0066,O079,US5949181045,Microsoft Corp,buy,950.01,15
ff12f85a-f31d-42c8-906e-c8cec7e11c20,O080,US0378331005,Apple Inc,sell,497.49,8
